"region","uid","date","weekid","rate","temp.max","temp.mean","temp.min","relative.humidity","total.rainfall","solar.radiation","wind.speed","absolute.humidity","pressure","temp.range","monthid","date_analysis","rate_r1","rate_dif1"
"HK","1998-1",1998-01-04,1,8.95205911665178,25.2,20.9,19.6,79.75,0,11.1375,21.45,14.5209551257639,1018.525,4.45,1,2019-12-29,NA,NA
"HK","1998-2",1998-01-11,2,5.67719988359607,25.9,19.8714285714286,19.8,82.4285714285714,0.0357142857142857,9.53,24.8142857142857,14.2942762760905,1017.95714285714,3.77142857142857,1,2019-12-29,-0.455425441785406,-3.27485923305571
"HK","1998-3",1998-01-18,3,6.55664213692885,24.5,16.9,17.8,81.2857142857143,6.87142857142857,7.33285714285714,30.1571428571429,11.9549340571416,1013.14285714286,4.74285714285714,1,2019-12-29,0.144020469596339,0.879442253332782
"HK","1998-4",1998-01-25,4,11.197445358948,18.7,13.3285714285714,15.8,82,0.135714285714286,2.93857142857143,32.0714285714286,9.6429901542808,1021.88571428571,3.48571428571429,1,2019-12-29,0.535207056797273,4.6408032220191
"HK","1998-5",1998-02-01,5,13.1137384480355,20.6,15.1285714285714,16.4,78.4285714285714,0.0214285714285714,10.2928571428571,30.9857142857143,10.2393177069737,1024.44285714286,3.45714285714286,2,2019-12-29,0.157974757825616,1.91629308908758
"HK","1998-6",1998-02-08,6,14.209019894894,20.6,13.9,17.5,80.4285714285714,1.85714285714286,7.62142857142857,27.2571428571429,9.83904954505339,1022,4.34285714285714,2,2019-12-29,0.0802165496579725,1.09528144685851
"HK","1998-7",1998-02-15,7,20.3431255449518,24.6,19.1571428571429,20.4,80,1.68571428571429,9.9,18.3428571428571,13.3098862168058,1017.87142857143,4.11428571428571,2,2019-12-29,0.358866076942306,6.13410565005773
"HK","1998-8",1998-02-22,8,24.8356092380635,26,20.1571428571429,19.6,88.7142857142857,14.3071428571429,4.93142857142857,22.3285714285714,15.801969000519,1013.95714285714,5.08571428571429,2,2019-12-29,0.199535435929688,4.49248369311175
"HK","1998-9",1998-03-01,9,35.279681409961,18.4,15.2,14.1,82.2857142857143,4.15714285714286,4.43857142857143,31.3571428571429,10.6643312295928,1018.54285714286,2.75714285714286,3,2019-12-29,0.351028721079512,10.4440721718975
"HK","1998-10",1998-03-08,10,39.8765823156068,21.3,17.9285714285714,18.3,85.4285714285714,2.1,9.04571428571429,29.3857142857143,13.1557295708832,1015.8,3.05714285714286,3,2019-12-29,0.122482041445884,4.59690090564574
"HK","1998-11",1998-03-15,11,29.0034296225972,26,17.5857142857143,21.1,82.5714285714286,5.74285714285714,6.24714285714286,22.5428571428571,12.6459374855769,1012.94285714286,4.71428571428571,3,2019-12-29,-0.318375156371642,-10.8731526930095
"HK","1998-12",1998-03-22,12,23.4875335791549,27.6,19.0285714285714,20.8,89.7142857142857,0.0428571428571429,8.08571428571429,25.0857142857143,14.8642518279879,1016.14285714286,4.41428571428571,3,2019-12-29,-0.210944291442929,-5.51589604344237
"HK","1998-13",1998-03-29,13,17.7296477769645,26.8,21.0142857142857,21.7,87.8571428571429,0.1,13.8728571428571,26.1142857142857,16.2278838359627,1019.14285714286,4.7,3,2019-12-29,-0.28123154044589,-5.75788580219039
"HK","1998-14",1998-04-05,14,10.5405496203722,27.8,22.9142857142857,21.9,81,0.0214285714285714,19.3728571428571,21.7285714285714,16.6384608102002,1018.05714285714,5.32857142857143,4,2019-12-29,-0.520008566054309,-7.18909815659223
"HK","1998-15",1998-04-12,15,6.92496424888115,29,25.2,24.6,84.5714285714286,5.25,13.6785714285714,11.9428571428571,19.7034075351065,1012.35714285714,4.65714285714286,4,2019-12-29,-0.420096798455391,-3.61558537149109
"HK","1998-16",1998-04-19,16,4.07533993318693,30.8,24.6571428571429,24.2,72.5714285714286,1.71428571428571,14.5185714285714,15.0857142857143,16.2887075665182,1012.54285714286,4.98571428571429,4,2019-12-29,-0.53017872704302,-2.84962431569422
"HK","1998-17",1998-04-26,17,1.75776378149164,29.4,26.1142857142857,26.8,84.7142857142857,16.5,9.94285714285714,22.1571428571429,20.8213300523721,1011.62857142857,4.04285714285714,4,2019-12-29,-0.840911739917979,-2.31757615169529
"HK","1998-18",1998-05-03,18,2.95081967213114,29.9,25.3428571428571,25.7,86.8571428571429,20.9642857142857,9.30142857142857,15.2714285714286,20.3870380733928,1011,3.92857142857143,5,2019-12-29,0.518040564234261,1.1930558906395
